thisRow.t,notes,trial_num,participant,session,phase,cue_color,target_difficulty,trial_index_within_staircase,prop_used,stimulus_logit,staircase_id,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,quest_alpha_mean,quest_alpha_sd,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,angle_bias,applied_angle_bias,trials_completed_this_staircase,alpha_sd_current,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,difficulty_type,trial_index_within_type,threshold_source,s_threshold_60pct,s_threshold_80pct,cue_difficulty_prediction,actual_difficulty_level,target_percentage,confidence_rating,agency_rating,s_threshold_70pct,participant,session,learning_order,counterbalance_index,
,,1,1996s,001,calibration_interleaved,black,unknown,1,0.347354013008391,-0.6306903787402434,0,0,False,3.4196154999081045,True,square,dot,0.08546844611530306,0.7868489501376656,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,0,0,1,0.7868489501376656,4.62921649972715,958.24781544352,249.22278349736945,207,207,4.62921649972715,958.24781544352,249.22278349736945,958.24781544352,1003.2110948498479,-1.2126834179852655,1003.2110948498479,0.5024154589371981,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,2,1996s,001,calibration_interleaved,black,unknown,1,0.347354013008391,-0.6306903787402434,90,1,False,3.0378735000267625,True,dot,dot,-0.6105307855798056,0.9585022178944526,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,90,-90,1,0.9585022178944526,5.121649298216361,942.3834708718103,136.04554950171595,184,184,5.121649298216361,942.3834708718103,136.04554950171595,942.3834708718103,1008.0071713364324,11.884017546178152,1008.0071713364324,0.483695652173913,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,3,1996s,001,calibration_interleaved,black,unknown,2,0.5350820483873121,0.14055915473515587,0,0,False,1.8882669999729842,True,square,dot,0.524820450452436,0.6692602983639965,3.2637768867652444,2.0581988369923665,0.027642037913681694,0.021816470896102922,0,0,2,0.6692602983639965,14.185375588593825,1631.3181926882899,179.3801251263413,115,115,14.185375588593825,1631.3181926882899,179.3801251263413,1631.3181926882899,1631.3181926882896,12.931153743388514,1631.3181926882896,0.8,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,4,1996s,001,calibration_interleaved,black,unknown,2,0.347354013008391,-0.6306903787402434,90,1,False,4.539725499926135,True,square,square,-0.8088180781535858,0.9261401199953351,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,90,-90,2,0.9261401199953351,2.4696295850139083,679.1481358788247,407.17154627813557,275,275,2.4696295850139083,679.1481358788247,407.17154627813557,679.1481358788247,679.1481358788244,-460.4194682106612,679.1481358788244,0.5163636363636364,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,5,1996s,001,calibration_interleaved,black,unknown,3,0.6580745541515514,0.654725510385422,0,1,False,0.9362655999138951,True,dot,dot,0.41030951672919036,0.6534884499054904,3.28025404256981,2.0655481629479597,0.027294976404465387,0.021762991574740532,0,0,3,0.6534884499054904,14.690183236615027,852.0306277236716,203.60948225373977,58,58,14.690183236615027,852.0306277236716,203.60948225373977,852.0306277236716,855.3061873310044,37.407613478370024,855.3061873310044,0.7758620689655172,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,6,1996s,001,calibration_interleaved,black,unknown,3,0.40766968306220214,-0.37360720091511007,90,1,False,3.5879890001378953,True,dot,dot,-0.9700635822792076,0.8644614427153365,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,90,-90,3,0.8644614427153365,3.453603482504097,749.431955703389,233.06242133270135,217,217,3.453603482504097,749.431955703389,233.06242133270135,749.431955703389,749.4319557033888,-188.7082791848005,749.4319557033888,0.34101382488479265,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,7,1996s,001,calibration_interleaved,black,unknown,4,0.5981210736084265,0.3976423325602886,0,nan,True,nan,False,dot,timeout,0.41030951672919036,0.6534884499054904,3.28025404256981,2.0655481629479597,0.027294976404465387,0.021762991574740532,0,0,4,0.6534884499054904,9.068776526155554,2729.701734372822,194.53744582620126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,8,1996s,001,calibration_interleaved,black,unknown,4,0.347354013008391,-0.6306903787402434,90,1,False,2.621080699842423,True,dot,dot,-1.1190240970074623,0.8074724288348268,3.311627193935783,2.081136767193931,0.024670840428403354,0.021238771821626617,90,90,4,0.8074724288348268,4.083997043288128,649.3555298828123,180.31772298057544,159,159,4.083997043288128,649.3555298828123,180.31772298057544,649.3555298828123,692.64472876287,-3.6537859850699412,692.64472876287,0.559748427672956,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,9,1996s,001,calibration_interleaved,black,unknown,5,0.5981210736084265,0.3976423325602886,0,1,False,1.2049605001229793,True,square,square,0.2955818315685373,0.6430213099496522,3.2816197706160994,2.066748106991778,0.02697472973651053,0.02171008277512787,0,0,5,0.6430213099496522,13.781978525117928,1019.8664108587267,204.4687166742795,74,74,13.781978525117928,1019.8664108587267,204.4687166742795,1019.8664108587267,1019.8664108587267,1.9551346003463288,1019.8664108587267,0.7027027027027027,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,10,1996s,001,calibration_interleaved,black,unknown,5,0.347354013008391,-0.6306903787402434,90,1,False,2.555537400068715,True,dot,dot,-1.241575383088058,0.7495926648821191,3.354074156241943,2.096974867907407,0.024293246696899848,0.021141592718768264,90,-90,5,0.7495926648821191,6.593896007491008,1022.0538811611062,231.7538581064348,155,155,6.593896007491008,1022.0538811611062,231.7538581064348,1022.0538811611062,1075.1529632975257,16.07565997847747,1075.1529632975257,0.5419354838709678,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,11,1996s,001,calibration_interleaved,black,unknown,6,0.5981210736084265,0.3976423325602886,0,1,False,3.1043875999748707,True,dot,dot,nan,0.6257293579968964,nan,nan,nan,nan,0,0,6,0.6257293579968964,14.308071006790106,2689.91734927654,197.7708359026719,188,188,14.308071006790106,2689.91734927654,197.7708359026719,2689.91734927654,2690.688959250882,38.7135169782339,2690.688959250882,0.8404255319148937,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,12,1996s,001,calibration_interleaved,black,unknown,6,0.29156950079727495,-0.887773556565376,90,1,False,3.155318200122565,True,square,square,nan,0.7023309908200142,nan,nan,nan,nan,90,-90,6,0.7023309908200142,3.853461559535885,736.011157871354,318.7747622554327,191,191,3.853461559535885,736.011157871354,318.7747622554327,736.011157871354,761.9792785905737,-62.7031965733476,761.9792785905737,0.4607329842931937,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,13,1996s,001,calibration_interleaved,black,unknown,7,0.5981210736084265,0.3976423325602886,0,1,False,3.1218095999211073,True,square,square,nan,0.6044292792256621,nan,nan,nan,nan,0,0,7,0.6044292792256621,13.145606103547877,2484.519553570549,200.1876232710606,189,189,13.145606103547877,2484.519553570549,200.1876232710606,2484.519553570549,2484.9846592347826,2.7793821339898717,2484.9846592347826,0.671957671957672,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,14,1996s,001,calibration_interleaved,black,unknown,7,0.2414297750189407,-1.1448567343905092,90,0,False,2.2886558999307454,True,square,dot,nan,0.6712303973201291,nan,nan,nan,nan,90,-90,7,0.6712303973201291,1.496249187970447,207.9786371278921,195.51602633518715,139,139,1.496249187970447,207.9786371278921,195.51602633518715,207.9786371278921,207.97863712789217,-99.00333742824937,207.97863712789217,0.5107913669064749,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,15,1996s,001,calibration_interleaved,black,unknown,8,0.5350820483873121,0.14055915473515587,0,1,False,3.7397986999712884,True,dot,dot,nan,0.5926256988314804,nan,nan,nan,nan,0,0,8,0.5926256988314804,8.587988562417245,1949.4734036687146,119.64874829726739,227,227,8.587988562417245,1949.4734036687146,119.64874829726739,1949.4734036687146,1985.7414242654424,8.111108941942282,1985.7414242654424,0.6211453744493393,,,,,,,,,,,,1996s,001,"[90, 0]",3,
