thisRow.t,notes,trial_num,participant,session,phase,cue_color,target_difficulty,trial_index_within_staircase,prop_used,stimulus_logit,staircase_id,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,quest_alpha_mean,quest_alpha_sd,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,angle_bias,applied_angle_bias,trials_completed_this_staircase,alpha_sd_current,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,difficulty_type,trial_index_within_type,threshold_source,s_threshold_60pct,s_threshold_80pct,cue_difficulty_prediction,actual_difficulty_level,target_percentage,confidence_rating,agency_rating,s_threshold_70pct,participant.1,session.1,learning_order,counterbalance_index
,,1,SIM017s,001,calibration_interleaved,black,unknown,1,0.13877928683112928,-1.8254660101073215,0,0.0,False,3.5591973340439953,True,dot,square,-0.26583168607824714,0.784,3.143041289608424,2.0,0.025,0.02,0,0,1,0.784,-2.2868321143439654,-487.09524035526465,430.0922579632276,213,213,-4.699385721716013,-487.09524035526465,475.4832734893736,-487.09524035526465,-522.4600014213521,14.339006870407985,522.4600014213521,0.3659939010144158,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,2,SIM017s,001,calibration_interleaved,black,unknown,1,0.3033398512449902,-0.8314439021601506,90,1.0,False,1.39006061694173,True,square,square,-0.4473530228566096,0.784,2.666010067841591,2.0,0.025,0.02,90,-90,1,0.784,1.064059788735947,88.3169624650836,212.8701424615187,83,83,1.82502380197888,88.3169624650836,172.26557784994833,88.3169624650836,91.48139070492331,-3.751353188592173,91.48139070492331,0.7302046186296839,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,3,SIM017s,001,calibration_interleaved,black,unknown,2,0.5109233680819357,0.0437004256574867,0,1.0,False,1.3579176453938844,True,dot,dot,-0.23591024861045953,0.76832,3.1612929848202342,2.0,0.025,0.02,0,0,2,0.76832,6.995286898592919,566.6182387860265,318.9184323321036,81,81,5.223413960928127,566.6182387860265,332.98811346840046,566.6182387860265,585.2926815105996,50.73574749634445,585.2926815105996,0.6430135534244261,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,4,SIM017s,001,calibration_interleaved,black,unknown,2,0.11977865586494287,-1.9945278981959713,90,1.0,False,2.0412729731507238,True,square,square,-0.5969132608060812,0.76832,2.8938235557006697,2.0,0.025,0.02,90,90,2,0.76832,7.997186082451554,975.6567020590896,376.4540083570533,122,122,6.805777892111267,975.6567020590896,304.5760180600908,975.6567020590896,1034.863510702273,85.30027912796996,1034.863510702273,0.6829835128396995,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,5,SIM017s,001,calibration_interleaved,black,unknown,3,0.36760825762058563,-0.5424911938264437,0,1.0,False,1.8128370793596578,True,square,square,-0.26503543840597804,0.7529536,3.1518330402328023,2.0,0.025,0.02,0,0,3,0.7529536,10.910710699799909,1178.3567555783902,456.99820746434693,108,108,10.295156793818485,1178.3567555783902,441.5724452759151,1178.3567555783902,1224.576137512857,-112.82665611980252,1224.576137512857,0.8776292026764048,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,6,SIM017s,001,calibration_interleaved,black,unknown,3,0.6854423075691987,0.7788968332968944,90,1.0,False,4.215192722435968,True,square,square,-0.46621130186629856,0.7529536,3.1898947996630436,2.0,0.025,0.02,90,90,3,0.7529536,12.025681133625223,3030.4716456735564,198.81455932573374,252,252,10.920584498695378,3030.4716456735564,189.79677149229954,3030.4716456735564,3091.500879097061,-41.541238967551706,3091.500879097061,0.7483234718781424,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,7,SIM017s,001,calibration_interleaved,black,unknown,4,0.1038031648809765,-2.1556636104510534,0,1.0,False,3.3908002052790627,True,dot,dot,-0.44149406779685174,0.737894528,3.0521959434267747,2.0,0.025,0.02,0,0,4,0.737894528,4.150028492022468,842.455783880561,146.86312167261502,203,203,3.848587387063757,842.455783880561,122.97462080632073,842.455783880561,871.3652632848735,14.854189477040443,871.3652632848735,0.689462941182344,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,8,SIM017s,001,calibration_interleaved,black,unknown,4,0.19922065479944973,-1.3911724064343194,90,1.0,False,2.0078914033715747,True,dot,dot,-0.5525410049593138,0.737894528,2.786869888852072,2.0,0.025,0.02,90,90,4,0.737894528,4.828097456022433,579.3716947226919,197.6011307127321,120,120,5.236443814702142,579.3716947226919,162.93953742696385,579.3716947226919,588.1208139214594,-32.54350257823806,588.1208139214594,0.7452683916818907,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,9,SIM017s,001,calibration_interleaved,black,unknown,5,0.2945125841802391,-0.873567201041603,0,1.0,False,3.2897836992735954,True,square,square,-0.4811007716776206,0.72313663744,3.3232182448082104,2.0,0.025,0.02,0,0,5,0.72313663744,11.166617903725394,2199.8237270339027,312.4110577307321,197,197,12.515832542501691,2199.8237270339027,353.9089147481547,2199.8237270339027,2336.3757531162623,-38.93655780209192,2336.3757531162623,0.7111202482305096,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,10,SIM017s,001,calibration_interleaved,black,unknown,5,0.10535878562538585,-2.1390512286944996,90,0.0,False,1.3243158959696282,True,square,dot,-0.4071109011169217,0.72313663744,2.4722626104604153,2.0,0.025,0.02,90,90,5,0.72313663744,-0.34021420433669314,-26.876922142598758,311.39413062196985,79,79,-0.5465220746712396,-26.876922142598758,257.499808755856,-26.876922142598758,-29.236008620599865,0.5068157610932322,29.236008620599865,0.5466949232132673,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
,,11,SIM017s,001,calibration_interleaved,black,unknown,6,0.41201419951976925,-0.355644985154458,0,0.0,False,1.5432753231426821,True,dot,square,-0.49239179246470527,0.7086739046912,4.187116653165285,2.0,0.025,0.02,0,0,6,0.7086739046912,-3.557608208121544,-327.29995514718206,158.7716149698332,92,92,-2.5161209255665113,-327.29995514718206,176.32823921147178,-327.29995514718206,-334.1628601390306,12.84671277359948,334.1628601390306,0.4904355403486884,,,,,,,,,,,,SIM017s,001,"[90, 0]",1
